sno,latitude,longitude,day_of_year,seconds_of_day
500104088,25.10094,121.52243,130,17161
500104089,25.0796,121.5237,130,6302
500104090,25.09029,121.50189,129,69618
500104091,25.08577,121.52531,130,18902
500104092,25.1107,121.53999,130,8461
500104094,25.08756,121.51177,130,5041
500104095,25.08406,121.5067,130,6242
500104096,25.0881,121.50873,130,17702
500104097,25.08912,121.5049,130,19322
500104098,25.0841,121.52341,130,9063
500104099,25.08761,121.52608,130,13382
500104100,25.08408,121.50959,130,14281
500104101,25.08471,121.5089,129,74595
500104102,25.11742,121.53472,129,84603
500104103,25.10203,121.52561,130,17881
500104104,25.10585,121.52376,130,19095
500104105,25.08238,121.52309,130,6604
500104106,25.09765,121.52757,130,16636
500104107,25.09561,121.52552,130,18362
500104108,25.10336,121.52263,130,13202
500104109,25.08762,121.52711,130,13982
500104110,25.08036,121.5084,129,85935
500104111,25.09013,121.52054,130,315
500104112,25.08182,121.52431,130,12482
500104113,25.11247,121.52914,130,17702
500104114,25.09677,121.51931,130,3182
500104115,25.11642,121.53743,130,675
500104116,25.11579,121.53113,130,17702
500104117,25.09886,121.51835,130,18781
500104118,25.09646,121.49358,130,4
500104119,25.10566,121.52922,130,3137
500104120,25.10519,121.52869,130,4203
500104121,25.09204,121.52472,130,10323
500104122,25.09762,121.51321,130,7204
500104123,25.07793,121.52357,130,7682
500104124,25.11836,121.53466,130,18242
500104125,25.11633,121.53295,129,85803
500104126,25.10893,121.52319,129,85095
500104128,25.10985,121.52859,130,14294
500104129,25.09441,121.53285,129,8103
500104130,25.09601,121.53262,129,81604
500104131,25.0848,121.51253,129,72854
500104132,25.07892,121.52157,130,16203
500104133,25.09854,121.53528,130,9302
500104134,25.09064,121.52765,130,10383
500104135,25.11576,121.52693,129,70803
500104136,25.08248,121.52548,130,18362
500104137,25.09862,121.53749,129,82202
500105001,25.00402,121.54074,130,17161
500105002,25.0027,121.53861,130,13982
500105003,25.00115,121.53916,130,5404
500105004,25.00154,121.5364,130,18902
500105005,25.00144,121.53983,130,6315
500105006,24.99621,121.54043,130,19203
500105007,24.99366,121.54124,130,20237
500105008,24.99898,121.5403,130,17942
500105009,24.998336212959,121.53686287812,130,18977
500105010,25.00587,121.55012,130,1204
500105011,25.00465,121.54916,130,15604
500105012,25.00346,121.54709,129,86176
500105013,25.00219,121.54454,129,85803
500105014,24.99136,121.54008,130,18123
500105015,25.00792,121.53731,130,3182
500105016,24.99543,121.54725,130,17463
500105017,24.99118,121.5436,130,2054
500105018,24.98737,121.57726,130,15242
500105019,24.99873,121.57985,130,19561
500105020,24.99798,121.57455,130,3782
500105021,24.99886,121.56769,129,69675
500105022,24.99676,121.5596,130,1805
500105023,25.00467,121.55684,130,4442
500105024,24.99982,121.54761,130,12122
500105025,24.98816,121.55528,129,50404
500105026,24.98747,121.54984,130,19561
500105027,24.98573,121.54532,130,1394
500105028,24.98859,121.54336,130,3182
500105029,24.97837,121.55548,130,8461
500105030,24.98058,121.55624,130,15302
500105031,24.98414,121.56907,130,17343
500105032,24.98471,121.56332,130,15616
500105033,24.98574,121.56745,130,19442
500105034,24.97619,121.5583,130,19561
500105035,24.98959,121.56959,130,17402
500105036,24.98718,121.56059,130,10263
500105037,24.98814,121.56356,130,19442
500105038,24.98088,121.56313,130,7982
500105039,24.98181,121.56567,130,21194
500105040,24.98301,121.55404,129,61636
500105041,24.98537,121.57959,130,21737
500105042,24.98642,121.56514,126,69494
500105043,24.98935,121.56651,130,6135
