sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus,total_bikes,rent_bikes,return_bikes,is_high_error,relative_error
500113038,25.04099,121.50769,130,14881,4,5,0.2758620689655172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500113038,25.04099,121.50769,130,14881,4,5,0.2758620689655172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500113038,25.04099,121.50769,130,14881,4,5,0.2758620689655172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500113068,25.03548,121.50026,130,18302,5,5,0.03125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119006,25.01466,121.52917,130,13382,3,5,0.358695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119006,25.01466,121.52917,130,13382,3,5,0.358695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119049,25.01981,121.53903,130,16457,4,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119049,25.01981,121.53903,130,16457,4,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119049,25.01981,121.53903,130,16457,4,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119059,25.01595,121.53791,130,13575,3,5,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119059,25.01595,121.53791,130,13575,3,5,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119059,25.01595,121.53791,130,13575,3,5,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119059,25.01595,121.53791,130,13575,3,5,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119068,25.01987,121.54175,130,16995,4,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119096,25.01547,121.52892,130,5342,1,5,0.1717171717171717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.2588190451025207,0.9659258262890684,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500119096,25.01547,121.52892,130,5342,1,5,0.1717171717171717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.2588190451025207,0.9659258262890684,0,0,1,0,1,0,0,0,1,90,45,90,1,372.1164613661814
500119096,25.01547,121.52892,130,5342,1,5,0.1717171717171717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.2588190451025207,0.9659258262890684,0,0,1,0,1,0,0,0,1,90,45,90,1,372.1164613661814
500119096,25.01547,121.52892,130,5342,1,5,0.1717171717171717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.2588190451025207,0.9659258262890684,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
