sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus,total_bikes,rent_bikes,return_bikes,is_high_error,relative_error
500103052,25.06129,121.52021,130,13682,3,5,0.44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103058,25.06669,121.51615,130,19322,5,5,0.825,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103059,25.04879,121.51626,130,19742,5,5,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103059,25.04879,121.51626,130,19742,5,5,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104004,25.08521,121.51918,130,18362,5,5,0.84,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104009,25.11356,121.53718,130,19825,5,5,0.4375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104009,25.11356,121.53718,130,19825,5,5,0.4375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104014,25.11184,121.52589,130,19561,5,5,0.6785714285714286,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104031,25.08403,121.5249,130,19742,5,5,0.1212121212121212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500104035,25.08911,121.52154,130,18781,5,5,0.4333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104036,25.09164,121.51706,130,19442,5,5,0.0833333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104038,25.09598,121.51776,129,60316,16,4,0.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104038,25.09598,121.51776,129,60316,16,4,0.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104055,25.10459,121.52417,130,9363,2,5,0.0526315789473684,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104072,25.11044,121.53595,130,18496,5,5,0.8947368421052632,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104091,25.08577,121.52531,130,18902,5,5,0.1428571428571428,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500104107,25.09561,121.52552,130,18362,5,5,0.3947368421052631,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500104112,25.08182,121.52431,130,12482,3,5,0.125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500105007,24.99366,121.54124,130,20237,5,5,0.0158730158730158,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500105007,24.99366,121.54124,130,20237,5,5,0.0158730158730158,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500105007,24.99366,121.54124,130,20237,5,5,0.0158730158730158,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500105018,24.98737,121.57726,130,15242,4,5,0.532258064516129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500105018,24.98737,121.57726,130,15242,4,5,0.532258064516129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,0,1,1,0,0,90,90,15,1,451.9127272727272
